name,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
240,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/240_silhouette_contour.svg,cm,1.6,1.6,0.1,FALSE,Item_240::Final_Geom,Item_240::Face_Curves,Item_240::Original_Curve,Item_240::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/3D Silhouettes/240_silhouette.png,253,250,28,16,228,218,28,24,16,31
241,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/241_silhouette_contour.svg,cm,2.1,2.1,0.25,FALSE,Item_241::Final_Geom,Item_241::Face_Curves,Item_241::Original_Curve,Item_241::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/3D Silhouettes/241_silhouette.png,243,246,20,31,223,221,20,19,31,24
242,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/242_silhouette_contour.svg,cm,3.1,3.1,0.07,FALSE,Item_242::Final_Geom,Item_242::Face_Curves,Item_242::Original_Curve,Item_242::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/3D Silhouettes/242_silhouette.png,228,231,26,12,203,214,26,24,12,16
243,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/243_silhouette_contour.svg,cm,1.8,1.3,0.1,FALSE,Item_243::Final_Geom,Item_243::Face_Curves,Item_243::Original_Curve,Item_243::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/3D Silhouettes/243_silhouette.png,252,196,57,44,204,148,57,47,44,47
244,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/244_silhouette_contour.svg,cm,2,2,0.1,FALSE,Item_244::Final_Geom,Item_244::Face_Curves,Item_244::Original_Curve,Item_244::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/3D Silhouettes/244_silhouette.png,245,196,46,13,212,168,46,32,13,27
245,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/245_silhouette_contour.svg,cm,33.7,0.9,0.05,FALSE,Item_245::Final_Geom,Item_245::Face_Curves,Item_245::Original_Curve,Item_245::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/3D Silhouettes/245_silhouette.png,501,121,1,44,491,68,1,9,44,52
246,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/246_silhouette_contour.svg,cm,0.5,1.9,1.4,FALSE,Item_246::Final_Geom,Item_246::Face_Curves,Item_246::Original_Curve,Item_246::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/3D Silhouettes/246_silhouette.png,240,205,21,46,209,163,21,30,46,41
247,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/247_silhouette_contour.svg,cm,2.5,2.5,1.1,FALSE,Item_247::Final_Geom,Item_247::Face_Curves,Item_247::Original_Curve,Item_247::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/3D Silhouettes/247_silhouette.png,241,205,33,15,209,191,33,31,15,13
248,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/248_silhouette_contour.svg,cm,2.2,2.6,0.4,FALSE,Item_248::Final_Geom,Item_248::Face_Curves,Item_248::Original_Curve,Item_248::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/3D Silhouettes/248_silhouette.png,236,241,35,25,188,201,35,47,25,39
257,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/257_silhouette_contour.svg,cm,10,19.3,9.2,FALSE,Item_257::Final_Geom,Item_257::Face_Curves,Item_257::Original_Curve,Item_257::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/3D Silhouettes/257_silhouette.png,103,155,22,15,80,148,22,22,15,6
258,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/258_silhouette_contour.svg,cm,12.9,12.9,2.6,FALSE,Item_258::Final_Geom,Item_258::Face_Curves,Item_258::Original_Curve,Item_258::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/3D Silhouettes/258_silhouette.png,148,142,15,7,132,124,15,15,7,17
261,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/261_silhouette_contour.svg,cm,2.6,1.4,0.08,FALSE,Item_261::Final_Geom,Item_261::Face_Curves,Item_261::Original_Curve,Item_261::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/3D Silhouettes/261_silhouette.png,131,103,19,26,108,76,19,22,26,26
