name,sort_num,sort_letter,date_updated,contour_path,units,h,w,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
39,39,,4/17/26,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/39_silhouette_contour.svg,in,9.0625,10,1.1875,FALSE,Item_39::Final_Geom,Item_39::Face_Curves,Item_39::Original_Curve,AutoCAD::Item_39::Scaled_Curve,AutoCAD::Item_39::Curve_Bbox,Item_39::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/Combined/39_silhouette.png,800,756,24,6,779,737,24,20,6,18
40,40,,4/17/26,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/40_silhouette_contour.svg,in,21.875,17.9375,12.6875,FALSE,Item_40::Final_Geom,Item_40::Face_Curves,Item_40::Original_Curve,AutoCAD::Item_40::Scaled_Curve,AutoCAD::Item_40::Curve_Bbox,Item_40::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/Combined/40_silhouette.png,606,800,2,37,599,782,2,6,37,17
41,41,,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/41_silhouette_contour.svg,cm,15.8,14.3,2.5,FALSE,Item_41::Final_Geom,Item_41::Face_Curves,Item_41::Original_Curve,AutoCAD::Item_41::Scaled_Curve,AutoCAD::Item_41::Curve_Bbox,Item_41::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/Combined/41_silhouette.png,740,800,33,24,704,779,33,35,24,20
42,42,,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/42_silhouette_contour.svg,cm,50.5,39,6.5,FALSE,Item_42::Final_Geom,Item_42::Face_Curves,Item_42::Original_Curve,AutoCAD::Item_42::Scaled_Curve,AutoCAD::Item_42::Curve_Bbox,Item_42::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/Combined/42_silhouette.png,616,800,9,5,602,767,9,13,5,32
43,43,,4/17/26,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/43_silhouette_contour.svg,in,6.5,6.5,1.5,FALSE,Item_43::Final_Geom,Item_43::Face_Curves,Item_43::Original_Curve,AutoCAD::Item_43::Scaled_Curve,AutoCAD::Item_43::Curve_Bbox,Item_43::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/Combined/43_silhouette.png,800,770,18,29,792,750,18,7,29,19
44,44,,4/17/26,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/44_silhouette_contour.svg,in,5.875,1.5625,1.5625,TRUE,Item_44::Final_Geom,Item_44::Face_Curves,Item_44::Original_Curve,AutoCAD::Item_44::Scaled_Curve,AutoCAD::Item_44::Curve_Bbox,Item_44::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/Combined/44_silhouette.png,244,800,9,19,214,785,9,29,19,14
46,46,,4/17/26,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/46_silhouette_contour.svg,cm,27.5,40,3,FALSE,Item_46::Final_Geom,Item_46::Face_Curves,Item_46::Original_Curve,AutoCAD::Item_46::Scaled_Curve,AutoCAD::Item_46::Curve_Bbox,Item_46::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/Combined/46_silhouette.png,1137,757,13,8,1124,745,13,12,8,11
114,114,,4/17/26,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/114_silhouette_contour.svg,in,1.1875,5.9375,1.1875,FALSE,Item_114::Final_Geom,Item_114::Face_Curves,Item_114::Original_Curve,AutoCAD::Item_114::Scaled_Curve,AutoCAD::Item_114::Curve_Bbox,Item_114::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/Combined/114_silhouette.png,763,174,13,5,757,168,13,5,5,5
115,115,,4/17/26,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/115_silhouette_contour.svg,in,7.8125,1.9375,1.9375,TRUE,Item_115::Final_Geom,Item_115::Face_Curves,Item_115::Original_Curve,AutoCAD::Item_115::Scaled_Curve,AutoCAD::Item_115::Curve_Bbox,Item_115::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/Combined/115_silhouette.png,172,581,20,13,153,566,20,18,13,14
265,265,,4/17/26,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/265_silhouette_contour.svg,in,33.6875,13.625,6.9375,FALSE,Item_265::Final_Geom,Item_265::Face_Curves,Item_265::Original_Curve,AutoCAD::Item_265::Scaled_Curve,AutoCAD::Item_265::Curve_Bbox,Item_265::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/Combined/265_silhouette.png,282,546,38,19,261,539,38,20,19,6
268,268,,4/17/26,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/268_silhouette_contour.svg,in,2.125,8.375,3.6875,FALSE,Item_268::Final_Geom,Item_268::Face_Curves,Item_268::Original_Curve,AutoCAD::Item_268::Scaled_Curve,AutoCAD::Item_268::Curve_Bbox,Item_268::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/Combined/268_silhouette.png,800,373,18,3,794,352,18,5,3,20
