name,contour_path,units,w,h,d,layer_final_geom,layer_derived_curves,layer_original_curves,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
268,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/268_silhouette_contour.svg,,,,,Item_268::Final_Geom,Item_268::Face_Curves,Item_268::Original_Curve,Item_268::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/3D Silhouettes/268_silhouette.png,5000,3100,431,661,4635,2555,431,364,661,544
269,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/269_silhouette_contour.svg,,,,,Item_269::Final_Geom,Item_269::Face_Curves,Item_269::Original_Curve,Item_269::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/3D Silhouettes/269_silhouette.png,4024,5675,53,100,3906,5587,53,117,100,87
290 - PLACEHOLDER_silhouette,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/290 - PLACEHOLDER_silhouette_silhouette_contour.svg,,,,,Item_290 - PLACEHOLDER_silhouette::Final_Geom,Item_290 - PLACEHOLDER_silhouette::Face_Curves,Item_290 - PLACEHOLDER_silhouette::Original_Curve,Item_290 - PLACEHOLDER_silhouette::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/3D Silhouettes/290 - PLACEHOLDER_silhouette.png,144,110,16,16,127,96,16,16,16,13
39,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/39_silhouette_contour.svg,,,,,Item_39::Final_Geom,Item_39::Face_Curves,Item_39::Original_Curve,Item_39::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/3D Silhouettes/39_silhouette.png,3000,4000,488,1355,2565,3364,488,434,1355,635
40,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/40_silhouette_contour.svg,,,,,Item_40::Final_Geom,Item_40::Face_Curves,Item_40::Original_Curve,Item_40::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/3D Silhouettes/40_silhouette.png,2000,3000,180,454,1844,2532,180,155,454,467
41,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/41_silhouette_contour.svg,,,,,Item_41::Final_Geom,Item_41::Face_Curves,Item_41::Original_Curve,Item_41::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/3D Silhouettes/41_silhouette.png,2000,3000,448,782,1582,2059,448,417,782,940
42,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/42_silhouette_contour.svg,,,,,Item_42::Final_Geom,Item_42::Face_Curves,Item_42::Original_Curve,Item_42::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/3D Silhouettes/42_silhouette.png,2000,3000,232,494,1726,2411,232,273,494,588
43,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/43_silhouette_contour.svg,,,,,Item_43::Final_Geom,Item_43::Face_Curves,Item_43::Original_Curve,Item_43::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/3D Silhouettes/43_silhouette.png,5000,4000,564,237,4428,3836,564,571,237,163
44,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/44_silhouette_contour.svg,,,,,Item_44::Final_Geom,Item_44::Face_Curves,Item_44::Original_Curve,Item_44::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/3D Silhouettes/44_silhouette.png,2000,3000,772,822,1249,2607,772,750,822,392
47,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/47_silhouette_contour.svg,,,,,Item_47::Final_Geom,Item_47::Face_Curves,Item_47::Original_Curve,Item_47::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/3D Silhouettes/47_silhouette.png,1206,1793,201,308,1015,1467,201,190,308,325
48 - PLACEHOLDER_silhouette,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Contours/48 - PLACEHOLDER_silhouette_silhouette_contour.svg,,,,,Item_48 - PLACEHOLDER_silhouette::Final_Geom,Item_48 - PLACEHOLDER_silhouette::Face_Curves,Item_48 - PLACEHOLDER_silhouette::Original_Curve,Item_48 - PLACEHOLDER_silhouette::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Hurst Modified/Hurst Silhouettes/3D Silhouettes/48 - PLACEHOLDER_silhouette.png,144,110,16,16,127,96,16,16,16,13
