name,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
183,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/183_silhouette_contour.svg,cm,244,80,10,FALSE,Item_183::Final_Geom,Item_183::Face_Curves,Item_183::Original_Curve,AutoCAD::Item_183::Scaled_Curve,AutoCAD::Item_183::Curve_Bbox,Item_183::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/183_silhouette.png,10602,4018,49,260,10601,3799,49,0,260,218
186,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/186_silhouette_contour.svg,cm,29.5,24.8,5.7,FALSE,Item_186::Final_Geom,Item_186::Face_Curves,Item_186::Original_Curve,AutoCAD::Item_186::Scaled_Curve,AutoCAD::Item_186::Curve_Bbox,Item_186::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/186_silhouette.png,3066,2711,143,143,2918,2563,143,147,143,147
187,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/187_silhouette_contour.svg,cm,25.2,20,7.3,FALSE,Item_187::Final_Geom,Item_187::Face_Curves,Item_187::Original_Curve,AutoCAD::Item_187::Scaled_Curve,AutoCAD::Item_187::Curve_Bbox,Item_187::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/187_silhouette.png,3696,3093,250,222,3440,2847,250,255,222,245
188,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/188_silhouette_contour.svg,cm,26.7,18.4,9.2,FALSE,Item_188::Final_Geom,Item_188::Face_Curves,Item_188::Original_Curve,AutoCAD::Item_188::Scaled_Curve,AutoCAD::Item_188::Curve_Bbox,Item_188::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/188_silhouette.png,4048,3006,251,229,3787,2766,251,260,229,239
190,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/190_silhouette_contour.svg,cm,4.1,39,4.1,TRUE,Item_190::Final_Geom,Item_190::Face_Curves,Item_190::Original_Curve,AutoCAD::Item_190::Scaled_Curve,AutoCAD::Item_190::Curve_Bbox,Item_190::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/190_silhouette.png,3063,4450,202,250,2846,4192,202,216,250,257
191,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/191_silhouette_contour.svg,cm,15.4,17.7,5,FALSE,Item_191::Final_Geom,Item_191::Face_Curves,Item_191::Original_Curve,AutoCAD::Item_191::Scaled_Curve,AutoCAD::Item_191::Curve_Bbox,Item_191::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/191_silhouette.png,3203,4310,243,0,2966,4059,243,236,0,250
192,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/192_silhouette_contour.svg,in,1,7,1,TRUE,Item_192::Final_Geom,Item_192::Face_Curves,Item_192::Original_Curve,AutoCAD::Item_192::Scaled_Curve,AutoCAD::Item_192::Curve_Bbox,Item_192::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/192_silhouette.png,1212,1244,195,19,937,851,195,274,19,392
193,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/193_silhouette_contour.svg,in,1,7,1,TRUE,Item_193::Final_Geom,Item_193::Face_Curves,Item_193::Original_Curve,AutoCAD::Item_193::Scaled_Curve,AutoCAD::Item_193::Curve_Bbox,Item_193::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/193_silhouette.png,1380,1456,388,68,839,1124,388,540,68,331
194,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/194_silhouette_contour.svg,in,1,7,1,TRUE,Item_194::Final_Geom,Item_194::Face_Curves,Item_194::Original_Curve,AutoCAD::Item_194::Scaled_Curve,AutoCAD::Item_194::Curve_Bbox,Item_194::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/194_silhouette.png,1176,1268,244,50,993,922,244,182,50,345
195,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/195_silhouette_contour.svg,cm,19.1,36.5,1.7,FALSE,Item_195::Final_Geom,Item_195::Face_Curves,Item_195::Original_Curve,AutoCAD::Item_195::Scaled_Curve,AutoCAD::Item_195::Curve_Bbox,Item_195::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/3D Silhouettes/195_silhouette.png,2794,4829,319,300,2528,4516,319,265,300,312
